"ym","media_value","monthlyRFR"
"1990-01",8.22903225806452,0.203454514244015
"1990-02",8.23714285714286,0.203542613114009
"1990-03",8.27677419354839,0.203972079089664
"1990-04",8.255,0.20373633114156
"1990-05",8.17645161290323,0.202881645805842
"1990-06",8.28866666666667,0.204100624128424
"1990-07",8.15258064516129,0.202620576838902
"1990-08",8.1341935483871,0.202419057283341
"1990-09",8.195,0.203084074005816
"1990-10",8.11258064516129,0.202181707440891
"1990-11",7.80666666666667,0.198765668148488
"1990-12",7.31290322580645,0.193015429147281
"1991-01",6.90645161290323,0.188042019784691
"1991-02",6.2525,0.179525438022615
"1991-03",6.11516129032258,0.177647720501305
"1991-04",5.91233333333333,0.174812943581036
"1991-05",5.78290322580645,0.172963870068412
"1991-06",5.89966666666667,0.174633391610141
"1991-07",5.82096774193548,0.173511003934302
"1991-08",5.66129032258065,0.171196763316854
"1991-09",5.447,0.168009761937184
"1991-10",5.20967741935484,0.164364850649044
"1991-11",4.81133333333333,0.157949578314536
"1991-12",4.4341935483871,0.151492884237424
"1992-01",4.0341935483871,0.14417949135001
"1992-02",4.05758620689655,0.144621610572286
"1992-03",3.98322580645161,0.143209646937034
"1992-04",3.73466666666667,0.138345558544707
"1992-05",3.82322580645161,0.14010486675257
"1992-06",3.76266666666667,0.138905041910832
"1992-07",3.25354838709677,0.128225595511317
"1992-08",3.30322580645161,0.129317811838996
"1992-09",3.21966666666667,0.127473938819914
"1992-10",3.09903225806452,0.124752010151393
"1992-11",3.08766666666667,0.124491791283507
"1992-12",2.91967741935484,0.120566222417064
"1993-01",3.0241935483871,0.123026243045171
"1993-02",3.02714285714286,0.123094808316449
"1993-03",3.0741935483871,0.124182459416736
"1993-04",2.95766666666667,0.121467264479503
"1993-05",2.99612903225806,0.122371487001101
"1993-06",3.038,0.123346818238681
"1993-07",3.05548387096774,0.123751341552271
"1993-08",3.03225806451613,0.123213617136364
"1993-09",3.08633333333333,0.12446122073418
"1993-10",2.99258064516129,0.122288401798902
"1993-11",3.018,0.122882105911031
"1993-12",2.95516129032258,0.121408085815626
"1994-01",3.05064516129032,0.123639548844868
"1994-02",3.245,0.128036470977758
"1994-03",3.3358064516129,0.130027876775919
"1994-04",3.555,0.134681650624774
"1994-05",4.01096774193548,0.143738658556433
"1994-06",4.24566666666667,0.148109712348931
"1994-07",4.25612903225806,0.148300361408082
"1994-08",4.47451612903226,0.152202495835383
"1994-09",4.73366666666667,0.15665197415425
"1994-10",4.76,0.157093730068718
"1994-11",5.29466666666667,0.165684606517524
"1994-12",5.45322580645161,0.168103715017903
"1995-01",5.52741935483871,0.169217013521017
"1995-02",5.91535714285714,0.17485576195536
"1995-03",5.97645161290323,0.175717228432405
"1995-04",6.04733333333333,0.176708076977458
"1995-05",6.00903225806452,0.176173810567631
"1995-06",6.00133333333333,0.176066094369519
"1995-07",5.85193548387097,0.173954068919717
"1995-08",5.73516129032258,0.172273641571263
"1995-09",5.80466666666667,0.173277038151553
"1995-10",5.75612903225806,0.172577332991477
"1995-11",5.803,0.173253087905596
"1995-12",5.60193548387097,0.170323537582436
"1996-01",5.56483870967742,0.169774109777483
"1996-02",5.22448275862069,0.164595941653955
"1996-03",5.3141935483871,0.165985521126799
"1996-04",5.22366666666667,0.164583216707805
"1996-05",5.23516129032258,0.164762306304543
"1996-06",5.27333333333333,0.165354874329379
"1996-07",5.39645161290323,0.167243846925802
"1996-08",5.22290322580645,0.164571311341145
"1996-09",5.299,0.165751458175829
"1996-10",5.23806451612903,0.164807491536905
"1996-11",5.311,0.165936366068232
"1996-12",5.29451612903226,0.165682283369269
"1997-01",5.25451612903226,0.165063177648105
"1997-02",5.18571428571429,0.163989746586652
"1997-03",5.38612903225806,0.167086756052342
"1997-04",5.50733333333333,0.168916765897006
"1997-05",5.5041935483871,0.168869755355666
"1997-06",5.55566666666667,0.169637826978413
"1997-07",5.52129032258065,0.169125486095372
"1997-08",5.54225806451613,0.169438280406164
"1997-09",5.54066666666667,0.169414572370087
"1997-10",5.49612903225806,0.16874891370126
"1997-11",5.52166666666667,0.169131108472274
"1997-12",5.50483870967742,0.16887941675376
"1998-01",5.55741935483871,0.169663882798118
"1998-02",5.50571428571429,0.168892527246306
"1998-03",5.49354838709677,0.168710215327703
"1998-04",5.44533333333333,0.167984596309343
"1998-05",5.48870967741935,0.168637617864022
"1998-06",5.55866666666667,0.169682421702173
"1998-07",5.5358064516129,0.169342133998209
"1998-08",5.54677419354839,0.169505531192041
"1998-09",5.51166666666667,0.168981612744854
"1998-10",5.07096774193548,0.162174905928396
"1998-11",4.826,0.158192833546034
"1998-12",4.68354838709677,0.155806050137514
"1999-01",4.63258064516129,0.154938746523061
"1999-02",4.76464285714286,0.157171424472597
"1999-03",4.80935483870968,0.157916720757695
"1999-04",4.73633333333333,0.15669679346664
"1999-05",4.74225806451613,0.156796303541721
"1999-06",4.76466666666667,0.157171822757584
"1999-07",4.9941935483871,0.160942998828273
"1999-08",5.07225806451613,0.162195487963626
"1999-09",5.22433333333333,0.164593611848616
"1999-10",5.2,0.164213526315426
"1999-11",5.42,0.167601342519706
"1999-12",5.2958064516129,0.165702194416206
